Flight,Equipment Name,Origin Code,Destination Code,Dep Time,Arr Time,Rev
PG   100,(PG)  319,USM,BKK,600,705,2623961
PG   103,(PG)  319,BKK,USM,600,705,2623961
PG   104,(PG)  319,USM,BKK,745,850,2623961
PG   121,(PG)  319,BKK,USM,730,835,2623961
PG   122,(PG)  319,USM,BKK,915,1020,2623961
PG   123,(PG)  319,BKK,USM,815,920,2623961
PG   127,(PG)  AT7,BKK,USM,830,1000,2623961
PG   128,(PG)  AT7,USM,BKK,1030,1200,2623961
PG   129,(PG)  AT7,BKK,USM,900,1030,2623961
PG   133,(PG)  319,BKK,USM,1100,1205,2623961
PG   134,(PG)  319,USM,BKK,1245,1350,2623961
PG   138,(PG)  AT7,USM,BKK,1400,1530,2623961
PG   139,(PG)  AT7,BKK,USM,1215,1345,2623961
PG   140,(PG)  AT7,USM,BKK,1415,1545,2623961
PG   141,(PG)  319,BKK,USM,1130,1235,2623961
PG   142,(PG)  319,USM,BKK,1315,1420,2623961
PG   144,(PG)  319,USM,BKK,1425,1530,2623961
PG   168,(PG)  AT7,USM,BKK,1740,1910,2623961
PG   171,(PG)  AT7,BKK,USM,1620,1750,2623961
PG   172,(PG)  AT7,USM,BKK,1825,1955,2623961
PG   175,(PG)  AT7,BKK,USM,1845,2015,2623961
PG   176,(PG)  AT7,USM,BKK,2045,2210,2623961
PG   178,(PG)  AT7,USM,BKK,1900,2030,2623961
PG   179,(PG)  319,BKK,USM,1630,1735,2623961
PG   180,(PG)  319,USM,BKK,1815,1920,2623961
PG   187,(PG)  AT7,BKK,USM,2015,2145,2623961
PG   188,(PG)  AT7,USM,BKK,2030,2200,2623961
PG   191,(PG)  319,BKK,USM,2000,2105,2623961
PG   192,(PG)  319,USM,BKK,2145,2250,2623961
PG   199,(PG)  319,BKK,USM,2100,2200,2623961
PG   203,(PG)  AT7,BKK,LPT,620,750,285918
PG   204,(PG)  AT7,LPT,BKK,820,950,285918
PG   205,(PG)  AT7,BKK,LPT,1600,1730,285918
PG   206,(PG)  AT7,LPT,BKK,1800,1930,285918
PG   211,(PG)  AT7,BKK,THS,700,815,154026
PG   212,(PG)  AT7,THS,BKK,845,1000,154026
PG   213,(PG)  AT7,BKK,THS,1515,1630,154026
PG   214,(PG)  AT7,THS,BKK,1700,1815,154026
PG   215,(PG)  320,BKK,CNX,805,920,1154408
PG   216,(PG)  320,CNX,BKK,1010,1130,1154408
PG   216,(PG)  AT7,BKK,USM,1230,1400,2623961
PG   217,(PG)  319,USM,BKK,1000,1105,2623961
PG   217,(PG)  319,BKK,CNX,1210,1325,1154408
PG   218,(PG)  319,CNX,BKK,1410,1530,1154408
PG   219,(PG)  319,BKK,CNX,1700,1815,1154408
PG   220,(PG)  319,CNX,BKK,1900,2020,1154408
PG   220,(PG)  319,BKK,HKT,2155,2320,1250847
PG   221,(PG)  319,BKK,CNX,2030,2145,1154408
PG   222,(PG)  319,CNX,BKK,655,815,1154408
PG   223,(PG)  319,BKK,CNX,1000,1115,1154408
PG   225,(PG)  320,BKK,CNX,1435,1550,1154408
PG   242,(PG)  319,CNX,USM,1200,1345,235003
PG   251,(PG)  AT7,USM,HKT,805,905,290246
PG   252,(PG)  AT7,HKT,USM,935,1030,290246
PG   252,(PG)  AT7,USM,UTP,1110,1230,53687
PG   255,(PG)  AT7,USM,HKT,1430,1530,290246
PG   256,(PG)  AT7,HKT,USM,1600,1655,290246
PG   257,(PG)  AT7,USM,HKT,1730,1830,290246
PG   258,(PG)  AT7,HKT,USM,1905,2000,290246
PG   259,(PG)  AT7,USM,HKT,1100,1200,290246
PG   260,(PG)  AT7,HKT,USM,1235,1330,290246
PG   265,(PG)  AT7,BKK,USM,1020,1150,2623961
PG   265,(PG)  AT7,USM,KBV,1220,1315,52885
PG   266,(PG)  AT7,KBV,USM,1345,1435,52885
PG   266,(PG)  AT7,USM,BKK,1505,1635,2623961
PG   270,(PG)  319,HKT,BKK,700,825,1250847
PG   271,(PG)  320,BKK,HKT,805,930,1250847
PG   272,(PG)  320,HKT,BKK,1020,1145,1250847
PG   273,(PG)  320,BKK,HKT,1355,1520,1250847
PG   274,(PG)  320,HKT,BKK,1610,1735,1250847
PG   275,(PG)  320,BKK,HKT,1000,1125,1250847
PG   276,(PG)  320,HKT,BKK,1215,1340,1250847
PG   277,(PG)  320,BKK,HKT,1655,1820,1250847
PG   278,(PG)  320,HKT,BKK,1910,2035,1250847
PG   279,(PG)  320,BKK,HKT,2005,2130,1250847
PG   280,(PG)  320,HKT,BKK,2215,2340,1250847
PG   281,(PG)  AT7,UTP,HKT,1300,1440,79642
PG   282,(PG)  AT7,HKT,UTP,1510,1645,79642
PG   294,(PG)  AT7,UTP,USM,1715,1820,53687
PG   301,(PG)  AT7,BKK,TDX,830,930,100545
PG   302,(PG)  AT7,TDX,BKK,1015,1115,100545
PG   307,(PG)  AT7,BKK,TDX,1710,1810,100545
PG   308,(PG)  AT7,TDX,BKK,1840,1940,100545
PG   805,(PG)  319,BKK,USM,945,1050,2623961
PG   806,(PG)  319,USM,BKK,1940,2045,2623961
PG   874,(PG)  319,USM,BKK,1155,1300,2623961
PG   906,(PG)  AT7,BKK,USM,1540,1710,2623961
PG   907,(PG)  320,HKT,BKK,1435,1600,1250847
PG   909,(PG)  320,CNX,BKK,1635,1755,1154408
PG   924,(PG)  320,BKK,HKT,1220,1345,1250847
PG   951,(PG)  319,BKK,USM,1610,1715,2623961
PG   952,(PG)  319,USM,BKK,945,1050,2623961
PG   961,(PG)  319,BKK,USM,1445,1550,2623961
PG   962,(PG)  319,USM,BKK,2200,2305,2623961
